,17Networks_1,17Networks_10,17Networks_11,17Networks_12,17Networks_13,17Networks_14,17Networks_15,17Networks_16,17Networks_17,17Networks_2,17Networks_3,17Networks_4,17Networks_5,17Networks_6,17Networks_7,17Networks_8,17Networks_9
17Networks_1,10,0,0,2,0,2,7,0,1,0,0,1,1,0,2,0,0
17Networks_10,0,0,0,0,0,0,1,8,0,0,0,1,0,1,4,6,2
17Networks_11,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1
17Networks_12,0,2,0,7,4,2,0,5,13,0,0,0,1,2,7,9,6
17Networks_13,0,0,0,6,6,3,5,17,31,0,0,4,2,4,0,7,10
17Networks_14,0,0,0,2,4,24,1,0,9,0,0,9,1,1,4,0,4
17Networks_15,1,0,0,2,0,0,7,1,4,0,0,1,1,2,1,1,4
17Networks_16,0,1,0,0,7,1,2,2,11,0,0,0,1,3,3,2,10
17Networks_17,0,1,0,3,18,7,7,17,99,0,9,8,0,1,9,13,36
17Networks_2,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0
17Networks_3,0,0,0,2,0,0,2,1,5,0,1,6,0,0,0,0,8
17Networks_4,1,1,0,1,5,14,1,1,2,0,2,49,0,1,2,4,7
17Networks_5,0,0,0,3,0,1,5,0,1,0,0,1,2,0,3,4,3
17Networks_6,0,0,0,0,1,0,2,0,1,0,2,3,0,2,1,8,6
17Networks_7,0,1,0,4,2,2,1,2,6,0,2,6,1,1,1,7,7
17Networks_8,0,2,0,1,2,1,1,4,5,0,0,0,2,3,4,13,2
17Networks_9,1,3,0,3,7,9,4,2,38,0,0,3,1,3,6,3,63
