sample_idx,k_6,k_7,k_8,k_9,k_10,k_11,k_12,k_13,k_14,k_15,k_16,k_17,k_18,k_19,k_20
0,1,3,4,4,0,5,0,9,4,7,13,3,3,7,3
1,1,3,4,4,6,0,7,7,1,14,9,15,15,7,15
2,1,3,4,4,6,0,7,7,1,14,9,15,15,7,15
3,1,3,4,4,6,0,7,7,1,14,9,15,15,7,15
4,1,3,4,4,6,0,7,7,1,14,9,15,15,7,15
5,1,3,4,4,6,0,7,7,1,14,9,15,15,7,15
6,1,3,4,6,0,5,0,9,4,7,13,3,4,10,4
7,1,3,4,6,0,5,0,9,4,7,13,5,4,10,4
8,1,6,4,7,4,3,1,8,2,6,12,5,4,10,4
9,1,3,4,6,0,5,0,9,4,7,13,3,4,10,4
10,1,3,4,6,0,5,0,9,2,7,12,5,5,10,3
11,1,3,4,4,4,0,7,8,2,6,12,5,5,7,3
12,1,3,4,4,6,0,7,7,1,14,9,15,15,7,15
13,1,3,4,4,0,5,7,9,4,7,9,15,3,7,3
14,3,0,5,6,7,7,10,1,10,4,1,9,9,2,18
15,3,3,5,6,0,5,0,9,4,4,13,3,3,2,18
16,4,3,4,6,0,5,0,9,4,4,11,9,3,2,18
17,4,4,0,2,5,4,3,10,10,4,11,9,9,2,18
18,4,4,0,2,5,4,3,10,10,4,11,9,9,2,18
19,1,3,4,4,0,5,0,9,4,7,13,3,3,10,3
20,1,3,4,4,6,0,7,7,1,14,9,15,15,7,15
21,1,3,4,4,6,0,7,7,1,14,9,15,15,7,15
22,3,0,3,3,8,9,4,4,6,0,3,1,1,0,13
23,3,0,3,3,8,9,4,4,6,0,3,1,1,0,13
24,3,0,3,6,0,9,4,9,6,0,13,3,4,10,4
25,1,6,2,7,4,3,1,8,2,6,12,5,4,10,4
26,1,6,2,7,4,3,1,8,2,6,12,5,5,10,4
27,1,3,4,4,4,3,1,8,2,6,12,5,5,10,3
28,1,3,4,4,4,0,7,8,2,6,12,5,5,7,5
29,1,3,4,6,0,5,0,9,4,7,13,3,4,10,3
30,1,3,4,6,0,5,0,9,4,7,13,3,3,10,3
31,3,0,5,3,7,7,10,3,11,11,10,13,13,12,9
32,3,3,4,6,0,5,0,9,4,7,13,3,3,2,18
33,4,3,4,6,0,5,0,9,4,4,11,9,3,2,18
34,4,3,4,6,0,5,0,1,10,4,11,9,9,2,18
35,3,0,5,6,7,7,10,3,11,4,10,9,9,12,18
36,4,4,0,2,5,7,3,1,10,4,1,9,9,2,18
37,4,3,5,6,0,7,0,9,4,4,11,9,9,2,18
38,4,3,4,6,0,5,0,9,4,7,11,3,3,2,18
39,1,3,4,6,0,5,0,9,4,7,13,3,3,2,18
40,3,0,5,6,7,7,10,1,10,4,10,9,9,2,18
41,3,0,5,6,0,7,10,9,4,7,13,3,4,2,4
42,1,3,4,6,0,5,0,9,4,7,13,3,3,2,18
43,1,3,4,6,0,5,0,9,4,7,13,3,3,2,18
44,1,3,4,6,0,5,0,9,4,7,13,3,3,2,18
45,1,3,4,6,0,5,0,9,4,7,13,3,3,2,18
46,2,6,2,7,4,3,1,8,2,6,12,5,5,1,5
47,1,6,2,7,4,3,1,8,2,6,12,5,5,1,5
48,2,1,2,7,4,3,6,8,2,6,12,5,5,1,5
49,2,1,6,8,3,6,6,0,9,13,5,11,11,13,11
50,2,1,6,8,3,6,6,0,9,13,5,11,11,13,11
51,2,1,6,8,3,6,6,0,9,13,5,11,11,13,11
52,0,6,2,7,4,3,1,8,2,0,7,10,10,5,10
53,0,6,2,7,4,3,1,8,2,6,7,10,10,5,10
54,0,6,2,7,4,3,1,8,2,6,7,10,10,5,10
55,1,6,2,7,4,3,1,8,2,6,7,10,10,5,10
56,1,6,2,7,4,3,1,8,2,6,12,5,5,1,5
57,2,6,2,7,4,3,1,8,2,6,12,5,5,1,5
58,1,6,2,7,4,3,1,8,2,6,12,5,5,1,5
59,1,6,2,7,4,3,1,8,2,6,12,5,5,1,5
60,4,4,5,2,7,7,10,1,10,4,1,9,9,17,2
61,4,4,0,2,5,7,10,1,10,4,1,9,9,17,2
62,4,4,0,2,5,7,10,1,10,4,1,9,9,17,2
63,3,0,3,3,8,9,4,4,6,5,3,1,1,0,13
64,3,0,3,3,8,9,4,4,6,11,3,1,1,0,13
65,2,6,2,7,4,3,1,8,2,6,12,5,5,1,5
66,2,1,6,8,3,6,6,0,9,13,5,11,11,13,11
67,2,1,6,8,3,6,6,0,9,13,5,11,11,13,11
68,0,0,3,3,8,9,4,4,6,0,3,1,1,0,13
69,0,0,3,3,8,9,4,4,6,0,3,1,1,0,13
70,0,6,2,7,4,3,1,8,2,6,7,10,10,5,10
71,0,6,3,7,8,9,4,4,6,0,3,1,1,5,1
72,0,6,2,7,4,3,1,8,2,6,7,10,10,1,10
73,2,6,2,7,4,3,1,8,2,6,12,5,5,1,5
74,1,6,2,7,4,3,1,8,2,6,12,5,5,5,10
75,1,6,2,7,4,3,1,8,2,6,12,5,4,5,4
76,3,0,5,3,7,7,10,3,11,11,10,13,13,12,9
77,3,0,5,3,7,7,10,3,11,11,10,13,13,12,9
78,3,0,5,3,7,7,10,3,11,11,10,13,13,12,9
79,3,0,5,3,7,7,10,3,11,11,10,13,13,12,9
80,3,0,3,3,8,9,4,4,6,0,3,1,1,0,13
81,3,0,5,3,7,7,10,3,11,11,10,13,13,12,9
82,0,0,3,3,8,9,4,4,6,0,3,1,1,0,13
83,0,5,3,0,8,9,4,4,6,5,3,1,1,0,13
84,0,0,3,3,8,9,4,4,6,0,3,1,1,0,13
85,0,5,1,0,1,10,8,2,5,8,2,16,16,11,16
86,0,5,1,0,1,10,8,2,5,8,2,16,16,8,16
87,5,5,1,0,1,2,2,12,0,3,8,8,8,15,8
88,5,2,7,5,2,2,5,12,12,3,8,8,8,15,8
89,3,0,3,3,7,9,10,3,11,11,10,13,13,0,13
90,3,0,5,3,7,7,10,3,11,11,10,13,13,12,9
91,3,0,3,3,8,9,4,4,6,11,3,1,1,0,13
92,3,0,3,3,8,9,4,4,6,0,3,1,1,0,13
93,0,6,3,7,8,9,4,4,6,0,3,10,1,5,13
94,0,6,2,7,4,3,1,8,6,0,7,10,10,5,10
95,0,6,2,7,4,3,1,8,6,0,7,10,10,5,10
96,0,6,2,7,4,3,1,8,6,0,7,10,10,5,10
97,5,5,1,0,1,2,2,12,0,3,8,8,8,15,8
98,5,2,7,5,2,2,5,12,12,3,14,8,8,15,8
99,5,5,1,0,1,2,2,12,0,3,8,8,8,15,8
100,0,5,1,0,1,10,2,2,0,5,8,12,12,14,12
101,0,5,1,0,1,10,2,2,0,3,8,12,12,14,12
