,17Networks_1,17Networks_10,17Networks_11,17Networks_12,17Networks_13,17Networks_14,17Networks_15,17Networks_16,17Networks_17,17Networks_2,17Networks_3,17Networks_4,17Networks_5,17Networks_6,17Networks_7,17Networks_8,17Networks_9
17Networks_1,14,0,0,3,0,1,2,1,1,0,0,1,1,0,1,0,1
17Networks_10,0,0,0,7,0,0,1,0,1,0,0,1,0,1,7,4,1
17Networks_11,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,1
17Networks_12,1,0,1,3,8,4,0,6,6,0,1,0,1,4,7,12,4
17Networks_13,1,0,0,4,3,4,2,9,37,1,1,2,0,2,13,5,11
17Networks_14,0,0,0,3,2,29,2,0,8,0,0,10,0,0,1,0,4
17Networks_15,3,0,0,3,2,0,8,1,2,0,0,1,0,1,1,0,3
17Networks_16,0,0,0,1,7,2,1,1,12,0,1,0,1,4,2,1,10
17Networks_17,3,2,0,3,9,7,9,14,97,0,2,9,0,13,11,13,36
17Networks_2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
17Networks_3,1,0,0,0,0,2,1,2,3,0,0,6,0,1,0,1,8
17Networks_4,0,0,0,5,3,15,0,1,4,0,0,49,0,2,2,3,7
17Networks_5,3,0,0,3,2,1,2,0,2,0,0,1,1,0,2,4,2
17Networks_6,3,0,0,2,2,1,2,0,2,0,0,3,0,4,1,3,3
17Networks_7,0,0,1,4,0,4,1,1,7,0,1,4,0,2,2,7,9
17Networks_8,2,0,0,2,0,2,0,3,3,0,0,0,1,4,7,14,2
17Networks_9,5,1,0,4,3,9,3,1,40,0,0,4,1,7,10,0,58
