onset	onset_duration	sample	sample_offsets	trial_end	condition_name	resp_accuracy	trial_idx
1186.50927734375	2.73779296875	2429971	2435578		reading_completion	correct	45
1192.0546875	3.13623046875	2441328	2447751		reading_completion	correct	02
1199.326171875	2.78857421875	2456220	2461931		reading_completion	correct	48
1205.40234375	3.1181640625	2468664	2475050		reading_completion	wrong	43
1211.3876953125	2.748046875	2480922	2486550		reading_completion	wrong	33
1217.044921875	2.74267578125	2492508	2498125		reading_completion	correct	28
1222.9287109375	3.11279296875	2504558	2510933		reading_completion	correct	12
1228.9248046875	2.79541015625	2516838	2522563		reading_completion	correct	45
1234.08984375	2.732421875	2527416	2533012		reading_completion	correct	14
1240.20068359375	3.1845703125	2539931	2546453		reading_completion	wrong	15
1246.95849609375	4.0380859375	2553771	2562041		reading_completion	wrong	29
1254.095703125	2.98193359375	2568388	2574495		reading_completion	wrong	37
1259.677734375	3.435546875	2579820	2586856		reading_completion	wrong	01
1266.67333984375	2.68310546875	2594147	2599642		reading_completion	correct	06
1272.4755859375	4.56787109375	2606030	2615385		reading_completion	correct	44
1279.4697265625	3.71923828125	2620354	2627971		reading_completion	correct	31
1286.314453125	2.81787109375	2634372	2640143		reading_completion	wrong	34
1292.34130859375	3.048828125	2646715	2652959		reading_completion	correct	41
1298.51416015625	0.0732421875	2659357	2659507		reading_completion	correct	48
