onset	onset_duration	sample	sample_offsets	trial_end	condition_name	resp_accuracy	trial_idx
147.7333984375	42.923828125	302558	390466		picture_naming	correct	213
191.66552734375	4.3642578125	392531	401469		picture_naming	correct	46
197.0322265625	19.47412109375	403522	443405		picture_naming	correct	120
217.50732421875	3.09814453125	445455	451800		picture_naming	correct	91
221.60205078125	3.14794921875	453841	460288		picture_naming	correct	39
225.76513671875	3.080078125	462367	468675		picture_naming	correct	114
229.84130859375	2.5927734375	470715	476025		picture_naming	correct	166
233.44482421875	2.44873046875	478095	483110		picture_naming	correct	30
236.88818359375	3.2412109375	485147	491785		picture_naming	correct	70
241.12548828125	2.32763671875	493825	498592		picture_naming	correct	85
244.4638671875	2.916015625	500662	506634		picture_naming	correct	260
248.376953125	2.71875	508676	514244		picture_naming	correct	103
252.09814453125	2.31005859375	516297	521028		picture_naming	correct	237
255.42041015625	6.74853515625	523101	536922		picture_naming	wrong	189
263.181640625	3.93701171875	538996	547059		picture_naming	correct	181
268.10302734375	2.3330078125	549075	553853		picture_naming	correct	195
271.45068359375	2.1240234375	555931	560281		picture_naming	correct	34
274.5888671875	2.19873046875	562358	566861		picture_naming	correct	28
277.7841796875	1.7626953125	568902	572512		picture_naming	correct	241
280.54345703125	2.68701171875	574553	580056		picture_naming	correct	204
284.23046875	2.35205078125	582104	586921		picture_naming	correct	126
287.5771484375	3.1806640625	588958	595472		picture_naming	correct	52
291.7724609375	2.78076171875	597550	603245		picture_naming	correct	153
295.54541015625	5.80908203125	605277	617174		picture_naming	correct	249
302.359375	1.9794921875	619232	623286		picture_naming	correct	258
305.34375	1.9248046875	625344	629286		picture_naming	correct	40
308.2646484375	2.0498046875	631326	635524		picture_naming	correct	168
311.31005859375	3.87939453125	637563	645508		picture_naming	correct	38
316.20166015625	5.77783203125	647581	659414		picture_naming	correct	175
322.97900390625	5.8564453125	661461	673455		picture_naming	correct	145
329.84765625	3.3779296875	675528	682446		picture_naming	correct	133
334.224609375	4.59130859375	684492	693895		picture_naming	wrong	12
339.84521484375	2.5830078125	696003	701293		picture_naming	correct	15
343.41162109375	3.0654296875	703307	709585		picture_naming	correct	100
347.4716796875	5.93359375	711622	723774		picture_naming	wrong	164
354.40283203125	2.37255859375	725817	730676		picture_naming	correct	128
357.77880859375	2.59912109375	732731	738054		picture_naming	correct	222
361.37353515625	2.46728515625	740093	745146		picture_naming	correct	134
364.85693359375	2.20166015625	747227	751736		picture_naming	correct	27
368.0546875	2.35009765625	753776	758589		picture_naming	correct	242
371.38720703125	2.30419921875	760601	765320		picture_naming	correct	3
374.6904296875	2.3720703125	767366	772224		picture_naming	correct	221
378.0615234375	2.3369140625	774270	779056		picture_naming	correct	231
381.396484375	19.74853515625	781100	821545		picture_naming	wrong	56
402.1337890625	3.65771484375	823570	831061		picture_naming	correct	165
406.79638671875	2.28173828125	833119	837792		picture_naming	correct	29
410.08251953125	2.3017578125	839849	844563		picture_naming	correct	113
413.38232421875	1.74853515625	846607	850188		picture_naming	correct	149
416.14208984375	3.04638671875	852259	858498		picture_naming	wrong	213
420.18701171875	2.87060546875	860543	866422		picture_naming	correct	138
424.0732421875	2.38232421875	868502	873381		picture_naming	correct	211
427.45458984375	2.0869140625	875427	879701		picture_naming	correct	117
430.55712890625	11.58740234375	881781	905512		picture_naming	wrong	63
443.16015625	116.18798828125	907592	1145545		picture_naming	correct	119
