sample_idx,k_4,k_5,k_6,k_7,k_8,k_9,k_10,k_11,k_12,k_13,k_14,k_15,k_16,k_17,k_18,k_19,k_20
0,3,4,5,6,7,8,9,10,11,11,12,13,14,14,15,15,16
1,1,2,2,3,3,4,4,5,5,5,5,5,5,5,6,6,7
2,1,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,4
3,1,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,4
4,3,4,5,6,7,8,9,10,11,12,13,14,15,15,16,17,18
5,1,2,2,3,3,4,4,5,5,5,5,5,5,5,6,6,7
6,1,2,2,3,3,4,4,5,5,5,5,5,5,5,6,6,7
7,1,2,2,3,3,4,4,5,5,5,5,5,5,5,6,6,7
8,1,2,2,3,3,4,4,5,5,5,5,5,5,5,6,6,7
9,1,2,2,3,3,4,4,5,5,5,5,5,5,5,6,6,7
10,1,2,2,3,3,4,4,5,5,5,5,5,5,5,6,6,7
11,1,2,2,3,3,4,4,5,5,5,5,5,5,5,6,6,7
12,3,4,5,6,6,7,7,8,9,9,10,11,11,11,12,12,13
13,3,4,5,6,6,7,7,8,9,9,10,10,10,10,11,11,12
14,3,4,5,6,6,7,7,8,9,9,10,10,10,10,11,11,12
15,3,4,5,6,6,7,7,8,9,9,10,10,10,10,11,11,12
16,3,4,5,6,6,7,7,8,9,9,10,10,10,10,11,11,12
17,3,4,5,6,6,7,7,8,9,9,10,10,10,10,11,11,12
18,3,4,5,6,6,7,7,8,9,9,10,10,10,10,11,11,12
19,1,2,2,3,3,4,4,5,5,5,5,5,5,5,6,6,7
20,1,2,2,3,3,4,4,5,5,5,5,5,5,5,6,6,7
21,1,2,2,3,3,4,4,5,5,5,5,5,5,5,6,6,7
22,1,2,2,3,3,4,4,5,5,5,5,5,5,5,6,6,7
23,1,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,4
24,1,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,4
25,1,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,4
26,1,2,2,3,3,4,4,5,5,5,5,5,5,5,6,6,7
27,1,2,2,3,3,4,4,5,5,5,5,5,5,5,6,6,7
28,1,2,2,3,3,4,4,5,5,5,5,5,5,5,6,6,7
29,1,2,2,3,3,4,4,5,5,5,5,5,5,5,6,6,7
30,1,2,2,3,3,4,4,5,5,5,5,5,5,5,6,6,7
31,1,2,2,3,3,4,4,5,5,5,5,5,5,5,6,6,7
32,1,2,2,3,3,4,4,5,5,5,5,5,5,5,6,6,7
33,1,2,2,3,3,4,4,5,5,5,5,5,5,5,6,6,7
34,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
35,3,4,5,6,6,7,7,8,9,9,10,10,10,10,11,11,12
36,3,4,5,6,6,7,7,8,9,9,10,10,10,10,11,11,12
37,3,4,5,6,6,7,7,8,9,9,10,10,10,10,11,11,12
38,3,4,5,6,6,7,7,8,9,9,10,10,10,10,11,11,12
39,3,4,5,6,6,7,7,8,9,9,10,10,10,10,11,11,12
40,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
41,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
42,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
43,3,4,5,6,6,7,7,8,9,9,10,10,10,10,11,11,12
44,3,4,5,6,6,7,7,8,9,9,10,10,10,10,11,11,12
45,3,4,5,6,6,7,7,8,9,9,10,10,10,10,11,11,12
46,3,4,5,6,6,7,7,8,9,9,10,10,10,10,11,11,12
47,3,4,5,6,6,7,7,8,9,9,10,10,10,10,11,11,12
48,3,4,5,6,6,7,7,8,9,9,10,10,10,10,11,11,12
49,3,4,5,6,6,7,7,8,9,9,10,10,10,10,11,11,12
50,3,4,5,6,6,7,7,8,9,9,10,10,10,10,11,11,12
51,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
52,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
53,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
54,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
55,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
56,3,4,4,5,5,6,6,7,7,7,8,8,8,8,9,9,10
57,3,4,4,5,5,6,6,7,7,7,8,8,8,8,9,9,10
58,3,4,5,6,6,7,7,8,9,9,10,10,10,10,11,11,12
59,3,4,4,5,5,6,6,7,7,7,8,8,8,8,9,9,10
60,3,4,5,6,6,7,7,8,9,9,10,10,10,10,11,11,12
61,3,4,5,6,6,7,7,8,9,9,10,10,10,10,11,11,12
62,3,4,5,6,6,7,7,8,9,9,10,10,10,10,11,11,12
63,3,4,5,6,6,7,7,8,9,9,10,10,10,10,11,11,12
64,3,4,5,6,6,7,7,8,9,9,10,10,10,10,11,11,12
65,3,4,5,6,6,7,7,8,9,9,10,10,10,10,11,11,12
66,3,4,4,5,5,6,6,7,7,7,8,8,8,8,9,9,10
67,3,4,4,5,5,6,6,7,7,7,8,8,8,8,9,9,10
68,3,4,5,6,6,7,7,8,9,9,10,11,11,11,12,12,13
69,3,4,5,6,6,7,7,8,9,9,10,11,11,11,12,12,13
70,3,4,5,6,6,7,7,8,9,9,10,11,11,11,12,12,13
71,3,4,5,6,6,7,7,8,9,9,10,10,10,10,11,11,12
72,3,4,5,6,6,7,7,8,9,9,10,10,10,10,11,11,12
73,3,4,5,6,6,7,7,8,9,9,10,10,10,10,11,11,12
74,3,4,5,6,7,8,9,10,11,12,13,14,15,15,16,17,18
75,3,4,5,6,6,7,7,8,9,9,10,10,10,10,11,11,12
76,3,4,5,6,6,7,7,8,9,9,10,10,10,10,11,11,12
77,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
92,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
93,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
101,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
108,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
112,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
113,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
122,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
123,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,3,4,5,6,6,7,7,8,9,9,10,11,11,11,12,12,13
129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
137,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
