,17Networks_1,17Networks_10,17Networks_11,17Networks_12,17Networks_13,17Networks_14,17Networks_15,17Networks_16,17Networks_17,17Networks_2,17Networks_3,17Networks_4,17Networks_5,17Networks_6,17Networks_7,17Networks_8,17Networks_9
17Networks_1,10,0,1,0,0,0,4,0,1,0,0,7,0,0,0,0,3
17Networks_10,0,0,0,2,1,0,4,0,3,7,0,0,0,1,0,1,4
17Networks_11,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0
17Networks_12,1,1,0,2,0,2,16,1,13,0,0,0,9,0,2,1,10
17Networks_13,3,0,0,4,4,8,7,6,28,2,0,4,1,4,0,5,19
17Networks_14,1,0,0,1,3,21,0,1,6,0,1,22,0,1,0,0,2
17Networks_15,2,1,0,3,0,1,2,0,6,0,0,0,1,0,0,5,4
17Networks_16,0,1,0,0,4,1,10,1,16,1,0,0,1,0,2,1,5
17Networks_17,1,3,1,16,8,9,16,5,113,0,1,8,3,13,2,4,25
17Networks_2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
17Networks_3,1,0,0,0,1,0,2,2,14,0,0,3,0,0,0,0,2
17Networks_4,1,0,0,2,0,21,4,0,12,0,2,38,3,2,1,2,3
17Networks_5,1,1,0,0,1,1,3,0,3,0,0,0,1,1,0,7,4
17Networks_6,0,0,0,1,1,1,1,0,9,0,0,3,1,3,2,2,2
17Networks_7,1,0,0,0,1,3,8,1,18,0,0,3,2,2,1,1,2
17Networks_8,0,0,0,3,3,1,16,1,2,1,0,0,4,0,1,3,5
17Networks_9,9,1,0,5,13,7,8,9,36,0,0,6,8,0,0,3,41
