,17Networks_1,17Networks_10,17Networks_11,17Networks_12,17Networks_13,17Networks_14,17Networks_15,17Networks_16,17Networks_17,17Networks_2,17Networks_3,17Networks_4,17Networks_5,17Networks_6,17Networks_7,17Networks_8,17Networks_9
17Networks_1,5,1,0,0,4,1,5,1,1,0,0,0,4,2,0,0,2
17Networks_10,0,0,0,1,3,1,3,0,0,1,1,2,6,1,0,2,2
17Networks_11,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
17Networks_12,1,1,0,2,4,2,4,2,7,1,1,5,11,3,1,8,5
17Networks_13,0,8,0,5,8,2,5,5,15,1,1,5,11,3,3,5,18
17Networks_14,0,4,0,3,6,13,0,2,3,3,2,14,3,0,2,1,3
17Networks_15,2,1,0,0,3,0,0,1,4,1,1,1,7,1,0,0,3
17Networks_16,0,1,0,2,5,3,3,3,13,0,1,4,3,3,0,0,2
17Networks_17,1,4,0,7,26,6,13,8,64,3,5,11,14,4,6,9,47
17Networks_2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
17Networks_3,1,0,0,0,2,6,1,1,2,2,0,2,3,2,0,0,3
17Networks_4,1,4,0,5,5,16,2,0,4,2,0,22,12,2,0,2,14
17Networks_5,0,0,0,1,3,0,2,0,1,0,0,5,3,3,1,0,4
17Networks_6,0,0,0,1,1,2,4,0,1,0,0,2,2,2,0,3,8
17Networks_7,0,3,0,5,5,5,5,1,3,0,0,4,4,0,2,4,2
17Networks_8,0,2,0,1,7,1,4,0,5,0,0,2,8,4,2,1,3
17Networks_9,6,0,0,5,14,8,2,4,31,3,0,11,14,3,3,3,39
