,17Networks_1,17Networks_10,17Networks_11,17Networks_12,17Networks_13,17Networks_14,17Networks_15,17Networks_16,17Networks_17,17Networks_2,17Networks_3,17Networks_4,17Networks_5,17Networks_6,17Networks_7,17Networks_8,17Networks_9
17Networks_1,15,1,0,0,0,0,0,0,2,1,0,2,1,0,0,2,2
17Networks_10,0,0,0,0,3,0,4,1,2,0,0,0,10,0,0,0,3
17Networks_11,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
17Networks_12,1,1,0,1,4,3,4,1,5,0,1,1,12,4,4,9,7
17Networks_13,2,4,0,2,9,1,4,10,19,3,1,4,14,0,3,3,16
17Networks_14,1,5,1,2,3,11,1,0,3,0,0,16,3,3,1,1,8
17Networks_15,3,4,0,0,0,1,3,1,4,0,1,1,4,0,0,1,2
17Networks_16,0,3,0,1,3,4,3,2,15,1,0,1,3,0,1,0,6
17Networks_17,2,14,1,2,13,2,16,9,65,0,6,10,34,2,4,13,35
17Networks_2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
17Networks_3,1,1,0,0,6,0,3,0,4,0,0,1,3,3,0,0,3
17Networks_4,3,7,0,1,6,11,1,1,14,1,1,16,12,4,1,1,11
17Networks_5,0,0,0,1,4,0,2,0,1,0,0,4,3,2,0,0,6
17Networks_6,1,0,0,2,2,1,4,0,2,0,1,1,3,3,1,2,3
17Networks_7,1,0,0,5,5,2,3,1,3,0,0,6,7,1,1,3,5
17Networks_8,0,1,0,3,3,0,3,1,0,0,1,0,13,6,3,2,4
17Networks_9,6,1,0,1,3,0,8,10,31,2,3,6,22,1,2,2,48
