,17Networks_1,17Networks_10,17Networks_11,17Networks_12,17Networks_13,17Networks_14,17Networks_15,17Networks_16,17Networks_17,17Networks_2,17Networks_3,17Networks_4,17Networks_5,17Networks_6,17Networks_7,17Networks_8,17Networks_9
17Networks_1,13,0,0,1,0,0,2,0,3,0,0,3,1,0,0,0,3
17Networks_10,0,0,0,1,1,0,2,1,4,0,0,0,0,0,0,0,14
17Networks_11,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0
17Networks_12,1,0,0,2,4,0,2,3,15,0,0,4,8,0,0,11,8
17Networks_13,0,0,0,5,4,2,8,4,35,2,0,7,0,0,1,3,24
17Networks_14,1,0,0,2,2,21,0,0,10,0,0,20,0,0,0,0,3
17Networks_15,3,1,0,0,3,0,1,3,4,0,0,2,0,2,0,1,5
17Networks_16,0,0,0,1,2,1,1,0,19,0,2,0,0,0,0,1,16
17Networks_17,0,0,0,5,11,3,11,13,114,3,2,3,2,5,1,9,46
17Networks_2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
17Networks_3,0,0,0,1,1,0,0,0,15,0,0,1,0,1,0,0,6
17Networks_4,1,0,0,6,3,9,0,4,16,0,0,40,2,2,0,1,7
17Networks_5,1,0,0,3,1,0,0,1,5,0,0,1,0,2,0,2,7
17Networks_6,0,1,0,4,0,1,0,0,7,0,0,3,1,2,1,3,3
17Networks_7,1,0,0,5,1,3,0,1,19,0,0,1,1,0,0,4,7
17Networks_8,0,0,0,4,1,1,1,1,9,0,0,2,5,2,0,5,9
17Networks_9,9,0,0,2,4,4,4,11,53,0,1,8,1,1,0,7,41
