sample_idx,k_4,k_5,k_6,k_7,k_8,k_9,k_10,k_11,k_12,k_13,k_14,k_15,k_16,k_17,k_18,k_19,k_20
0,2,2,3,3,4,4,5,5,6,6,7,8,9,10,10,10,10
1,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
2,3,4,5,6,7,7,8,8,9,10,11,12,13,14,15,16,17
3,3,4,5,6,7,7,8,8,9,10,11,12,13,14,15,16,17
4,2,2,3,3,4,4,5,5,6,7,8,9,10,11,11,12,12
5,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
6,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
7,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
8,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
9,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
10,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
11,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
12,2,2,3,3,3,3,3,3,4,4,5,6,7,7,7,7,7
13,2,2,3,3,3,3,3,3,4,4,5,5,6,6,6,6,6
14,2,2,3,3,3,3,3,3,4,4,5,5,6,6,6,6,6
15,2,2,3,3,3,3,3,3,4,4,5,5,6,6,6,6,6
16,2,2,3,3,3,3,3,3,4,4,5,5,6,6,6,6,6
17,2,2,3,3,3,3,3,3,4,4,5,5,6,6,6,6,6
18,2,2,3,3,3,3,3,3,4,4,5,5,6,6,6,6,6
19,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
21,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
22,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
23,3,4,5,6,7,7,8,8,9,10,11,12,13,14,15,16,17
24,3,4,5,6,7,7,8,8,9,10,11,12,13,14,15,16,17
25,3,4,5,6,7,7,8,8,9,10,11,12,13,14,15,16,17
26,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
27,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
28,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
29,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
30,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
31,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
32,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
33,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
34,2,2,3,3,4,4,5,5,6,7,8,9,10,11,12,13,13
35,2,2,3,3,3,3,3,3,4,4,5,5,6,6,6,6,6
36,2,2,3,3,3,3,3,3,4,4,5,5,6,6,6,6,6
37,2,2,3,3,3,3,3,3,4,4,5,5,6,6,6,6,6
38,2,2,3,3,3,3,3,3,4,4,5,5,6,6,6,6,6
