,17Networks_1,17Networks_10,17Networks_11,17Networks_12,17Networks_13,17Networks_14,17Networks_15,17Networks_16,17Networks_17,17Networks_2,17Networks_3,17Networks_4,17Networks_5,17Networks_6,17Networks_7,17Networks_8,17Networks_9
17Networks_1,10,0,1,1,0,0,3,0,1,4,0,0,5,0,0,0,1
17Networks_10,0,0,0,11,1,0,0,3,3,0,0,0,3,0,1,1,0
17Networks_11,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0
17Networks_12,1,2,0,2,4,1,10,0,7,3,0,1,3,3,6,3,12
17Networks_13,7,1,0,7,11,5,6,4,17,5,2,10,0,0,3,4,13
17Networks_14,1,0,0,0,0,29,4,2,5,0,2,14,1,0,0,0,1
17Networks_15,2,0,0,1,0,1,3,1,1,1,1,2,3,1,2,5,1
17Networks_16,2,1,0,1,3,0,0,2,10,2,5,6,1,0,4,1,5
17Networks_17,15,9,0,22,22,3,3,6,48,12,29,21,0,0,4,9,25
17Networks_2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
17Networks_3,2,0,0,0,0,0,0,7,9,0,0,5,0,0,0,1,1
17Networks_4,2,2,1,0,6,25,1,3,6,1,1,32,2,3,0,3,3
17Networks_5,4,0,0,1,0,0,4,1,2,1,0,1,0,2,0,3,4
17Networks_6,2,0,0,0,3,1,2,0,2,1,2,5,1,3,0,4,0
17Networks_7,2,0,0,1,4,2,2,5,13,0,0,5,2,3,0,3,1
17Networks_8,1,1,1,1,3,0,5,3,2,1,1,1,1,1,7,8,3
17Networks_9,14,11,2,11,15,2,3,1,20,5,12,13,3,0,1,3,30
