component,method,feature_set,K,n,boot_J,boot_lo,boot_hi,boot_sd,pass_bootstrap,null_p95,above_null,init_J,pass_init,patient_max,pass_patient,interpret,n_boot,measure,scoring,pct_added
0,cnmf,concat_hg,4,289,0.765,0.739,0.79,0.128,True,0.677,True,0.987,True,0.184,True,True,100,hennig_bootstrap_jaccard_inbag,in-bag,
1,cnmf,concat_hg,4,412,0.796,0.768,0.823,0.138,True,0.677,True,0.992,True,0.145,True,True,100,hennig_bootstrap_jaccard_inbag,in-bag,
2,cnmf,concat_hg,4,248,0.927,0.918,0.935,0.041,True,0.677,True,0.998,True,0.086,True,True,100,hennig_bootstrap_jaccard_inbag,in-bag,
3,cnmf,concat_hg,4,317,0.817,0.794,0.84,0.115,True,0.677,True,0.986,True,0.144,True,True,100,hennig_bootstrap_jaccard_inbag,in-bag,
0,cnmf,concat_hg,7,139,0.633,0.598,0.668,0.174,False,0.49,True,0.809,True,0.143,True,False,100,hennig_bootstrap_jaccard_inbag,in-bag,
1,cnmf,concat_hg,7,169,0.841,0.831,0.85,0.049,True,0.49,True,0.931,True,0.145,True,True,100,hennig_bootstrap_jaccard_inbag,in-bag,
2,cnmf,concat_hg,7,186,0.539,0.496,0.582,0.216,False,0.49,True,0.776,True,0.251,True,False,100,hennig_bootstrap_jaccard_inbag,in-bag,
3,cnmf,concat_hg,7,132,0.755,0.736,0.775,0.098,True,0.49,True,0.876,True,0.158,True,True,100,hennig_bootstrap_jaccard_inbag,in-bag,
4,cnmf,concat_hg,7,191,0.777,0.752,0.802,0.127,True,0.49,True,0.897,True,0.127,True,True,100,hennig_bootstrap_jaccard_inbag,in-bag,
5,cnmf,concat_hg,7,297,0.829,0.809,0.849,0.1,True,0.49,True,0.935,True,0.288,True,True,100,hennig_bootstrap_jaccard_inbag,in-bag,
6,cnmf,concat_hg,7,152,0.796,0.781,0.811,0.074,True,0.49,True,0.906,True,0.236,True,True,100,hennig_bootstrap_jaccard_inbag,in-bag,
0,cnmf,concat_hg,10,153,0.818,0.801,0.834,0.083,True,0.351,True,0.942,True,0.276,True,True,100,hennig_bootstrap_jaccard_inbag,in-bag,
1,cnmf,concat_hg,10,144,0.623,0.595,0.651,0.139,False,0.351,True,0.804,True,0.215,True,False,100,hennig_bootstrap_jaccard_inbag,in-bag,
2,cnmf,concat_hg,10,108,0.491,0.453,0.529,0.191,False,0.351,True,0.712,False,0.173,True,False,100,hennig_bootstrap_jaccard_inbag,in-bag,
3,cnmf,concat_hg,10,115,0.698,0.652,0.745,0.233,True,0.351,True,0.887,True,0.249,True,True,100,hennig_bootstrap_jaccard_inbag,in-bag,
4,cnmf,concat_hg,10,205,0.709,0.677,0.74,0.158,True,0.351,True,0.862,True,0.389,True,True,100,hennig_bootstrap_jaccard_inbag,in-bag,
5,cnmf,concat_hg,10,84,0.611,0.575,0.647,0.182,False,0.351,True,0.839,True,0.267,True,False,100,hennig_bootstrap_jaccard_inbag,in-bag,
6,cnmf,concat_hg,10,86,0.743,0.725,0.761,0.092,True,0.351,True,0.879,True,0.232,True,True,100,hennig_bootstrap_jaccard_inbag,in-bag,
7,cnmf,concat_hg,10,112,0.712,0.687,0.737,0.126,True,0.351,True,0.851,True,0.126,True,True,100,hennig_bootstrap_jaccard_inbag,in-bag,
8,cnmf,concat_hg,10,145,0.856,0.846,0.867,0.052,True,0.351,True,0.933,True,0.171,True,True,100,hennig_bootstrap_jaccard_inbag,in-bag,
9,cnmf,concat_hg,10,114,0.622,0.586,0.657,0.179,False,0.351,True,0.75,True,0.166,True,False,100,hennig_bootstrap_jaccard_inbag,in-bag,
0,cnmf,concat_hg_all,4,856,0.895,0.88,0.91,0.077,True,0.716,True,0.979,True,0.097,True,True,100,hennig_bootstrap_jaccard_inbag,in-bag,44.5
1,cnmf,concat_hg_all,4,670,0.856,0.836,0.877,0.103,True,0.716,True,0.969,True,0.08,True,True,100,hennig_bootstrap_jaccard_inbag,in-bag,60.7
2,cnmf,concat_hg_all,4,687,0.837,0.815,0.859,0.112,True,0.716,True,0.963,True,0.093,True,True,100,hennig_bootstrap_jaccard_inbag,in-bag,59.7
3,cnmf,concat_hg_all,4,733,0.921,0.913,0.929,0.042,True,0.716,True,0.983,True,0.1,True,True,100,hennig_bootstrap_jaccard_inbag,in-bag,65.6
0,cnmf,concat_hg_all,7,371,0.555,0.53,0.579,0.123,False,0.44,True,0.702,False,0.125,True,False,100,hennig_bootstrap_jaccard_inbag,in-bag,64.4
1,cnmf,concat_hg_all,7,437,0.61,0.586,0.634,0.121,False,0.44,True,0.729,False,0.112,True,False,100,hennig_bootstrap_jaccard_inbag,in-bag,63.6
2,cnmf,concat_hg_all,7,369,0.519,0.489,0.548,0.15,False,0.44,True,0.666,False,0.089,True,False,100,hennig_bootstrap_jaccard_inbag,in-bag,53.1
3,cnmf,concat_hg_all,7,474,0.518,0.484,0.551,0.168,False,0.44,True,0.653,False,0.083,True,False,100,hennig_bootstrap_jaccard_inbag,in-bag,60.1
4,cnmf,concat_hg_all,7,436,0.555,0.525,0.585,0.149,False,0.44,True,0.708,False,0.132,True,False,100,hennig_bootstrap_jaccard_inbag,in-bag,58.3
5,cnmf,concat_hg_all,7,368,0.379,0.343,0.414,0.178,False,0.44,False,0.537,False,0.155,True,False,100,hennig_bootstrap_jaccard_inbag,in-bag,68.8
6,cnmf,concat_hg_all,7,491,0.491,0.449,0.533,0.211,False,0.44,True,0.653,False,0.151,True,False,100,hennig_bootstrap_jaccard_inbag,in-bag,35.4
0,cnmf,concat_hg_all,10,339,0.745,0.721,0.769,0.121,True,0.429,True,0.844,True,0.14,True,True,100,hennig_bootstrap_jaccard_inbag,in-bag,60.5
