,17Networks_1,17Networks_10,17Networks_11,17Networks_12,17Networks_13,17Networks_14,17Networks_15,17Networks_16,17Networks_17,17Networks_2,17Networks_3,17Networks_4,17Networks_5,17Networks_6,17Networks_7,17Networks_8,17Networks_9
17Networks_1,10,0,0,0,0,4,4,0,1,0,0,1,0,0,0,0,6
17Networks_10,0,0,0,4,0,0,0,1,3,0,1,2,0,0,0,1,11
17Networks_11,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0
17Networks_12,3,0,0,4,1,3,6,2,20,0,0,1,3,3,1,3,8
17Networks_13,4,0,0,6,5,8,3,3,38,1,0,14,0,0,0,1,12
17Networks_14,1,0,0,4,0,26,0,1,8,0,2,16,0,0,0,0,1
17Networks_15,5,0,0,2,0,1,1,0,5,1,0,2,2,0,0,4,2
17Networks_16,0,0,0,1,3,0,0,4,15,0,2,5,1,1,2,3,6
17Networks_17,5,0,0,14,6,8,7,13,117,0,14,21,0,3,3,3,14
17Networks_2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2
17Networks_3,2,0,0,0,0,0,0,1,16,0,0,2,0,0,0,0,4
17Networks_4,2,0,0,2,4,28,0,1,17,1,1,29,1,1,0,2,2
17Networks_5,3,0,1,2,0,0,3,0,6,0,0,1,0,1,0,4,2
17Networks_6,0,1,0,0,1,0,1,1,10,0,0,5,0,0,0,4,3
17Networks_7,1,0,0,1,3,2,4,2,18,0,1,3,0,1,0,3,4
17Networks_8,4,0,1,1,2,0,6,2,3,0,0,2,1,0,0,9,9
17Networks_9,11,1,1,8,11,1,5,12,41,2,5,19,5,0,0,4,20
