,17Networks_1,17Networks_10,17Networks_11,17Networks_12,17Networks_13,17Networks_14,17Networks_15,17Networks_16,17Networks_17,17Networks_2,17Networks_3,17Networks_4,17Networks_5,17Networks_6,17Networks_7,17Networks_8,17Networks_9
17Networks_1,9,0,0,4,0,0,5,1,0,0,0,1,3,0,2,0,1
17Networks_10,0,0,0,3,0,0,1,1,0,0,0,1,1,0,7,7,2
17Networks_11,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1
17Networks_12,1,2,1,3,6,6,0,5,4,0,2,1,3,3,8,9,4
17Networks_13,0,0,0,3,3,2,3,13,37,0,1,2,1,2,5,9,14
17Networks_14,0,0,0,3,2,26,2,0,9,0,0,12,0,0,1,0,4
17Networks_15,1,0,0,2,1,1,8,1,3,0,0,1,1,1,1,1,3
17Networks_16,0,1,0,1,7,1,1,1,14,0,0,0,2,2,3,1,9
17Networks_17,1,2,0,7,12,4,9,11,100,0,2,11,0,5,8,14,42
17Networks_2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
17Networks_3,0,0,0,0,0,0,0,0,6,0,1,6,0,1,0,2,9
17Networks_4,0,1,0,2,1,13,0,2,2,0,1,51,0,3,4,2,9
17Networks_5,0,0,0,4,1,1,2,0,1,0,0,1,2,0,4,4,3
17Networks_6,1,0,0,3,2,0,2,0,2,0,2,3,0,3,2,1,5
17Networks_7,0,0,0,4,0,2,1,2,6,0,1,6,0,2,3,6,10
17Networks_8,0,4,0,3,2,2,0,2,3,0,0,0,2,1,9,9,3
17Networks_9,2,1,0,6,6,7,4,2,37,0,1,4,0,3,5,1,67
