fig,title,section,dep,verdict,how,rel,date,committed,folder
ANALYSIS,Is high‑gamma alone as good as the full spectrum?,Results,cohort,1 STALE - cohort,source: stage-03 _compare (19 Jul refresh),03_FBM_Classifying/outputs/classification/_compare/hg_vs_full.png,2026-07-19,True,classification/_compare
FIG 1,Master heatmap — every experiment at a glance,Results,cohort,1 STALE - cohort,source: stage-03 _compare (19 Jul refresh),03_FBM_Classifying/outputs/classification/_compare/heatmap.png,2026-07-19,True,classification/_compare
FIG 2,Decoding strength — all tasks on one axis,Results,cohort,1 STALE - cohort,source: stage-03 _compare (19 Jul refresh),03_FBM_Classifying/outputs/classification/_compare/forest.png,2026-07-19,True,classification/_compare
FIG 3,"Paired contrasts — power vs pattern, and time resolution",Results,cohort,1 STALE - cohort,source: stage-03 _compare (19 Jul refresh),03_FBM_Classifying/outputs/classification/_compare/paired_contrasts.png,2026-07-19,True,classification/_compare
FIG 3.8,Is any of this above chance? — permutation nulls,Results,cohort,1 STALE - cohort,source: stage-03 _compare (19 Jul refresh),03_FBM_Classifying/outputs/classification/_compare/permutation_null_summary.png,2026-08-02,True,classification/_compare
FIG 4,Δ‑confusion — how a feature changes the error structure,Results,cohort,1 STALE - cohort,source: stage-03 _compare (19 Jul refresh),03_FBM_Classifying/outputs/classification/_compare/delta_confusion_condition.png,2026-07-19,True,classification/_compare
FIG 4,Δ‑confusion — how a feature changes the error structure,Results,cohort,1 STALE - cohort,source: stage-03 _compare (19 Jul refresh),03_FBM_Classifying/outputs/classification/_compare/delta_confusion_parcellation_yeo7.png,2026-07-19,True,classification/_compare
FIG 4,Δ‑confusion — how a feature changes the error structure,Results,cohort,1 STALE - cohort,source: stage-03 _compare (19 Jul refresh),03_FBM_Classifying/outputs/classification/_compare/delta_confusion_parcellation_yeo17.png,2026-07-19,True,classification/_compare
FIG 5,Classifier agreement (robustness),Results,cohort,1 STALE - cohort,source: stage-03 _compare (19 Jul refresh),03_FBM_Classifying/outputs/classification/_compare/clf_scatter.png,2026-07-19,True,classification/_compare
FIG 6,Consensus confusion — the stable error structure,Results,cohort,1 STALE - cohort,source: stage-03 _compare (19 Jul refresh),03_FBM_Classifying/outputs/classification/_compare/confusion_consensus.png,2026-07-19,True,classification/_compare
FIG 7,Per‑class recall — which classes carry the signal,Results,cohort,1 STALE - cohort,source: stage-03 _compare (19 Jul refresh),03_FBM_Classifying/outputs/classification/_compare/class_recall_compare.png,2026-07-19,True,classification/_compare
FIG 8,Which features separate the classes — LR coefficient maps (condition),Results,cohort,1 STALE - cohort,source: condition/full_300/logreg · 20260624_184315,03_FBM_Classifying/outputs/classification/condition/full_300/logreg/runs/20260624_184315/coef_ersp_maps.png,2026-06-24,True,classification/condition
FIG 3a.R1,LanA membership — all electrodes (n=2981),Rebuilt on the corrected coordinates — two c,cohort,1 STALE - cohort,source: atlas/lana_* runs 20260802_*,02_FBM_Clustering/outputs/clustering/atlas/lana_all/lana_cards.png,2026-08-03,True,clustering/atlas
FIG 3a.R2,LanA membership — concatenated cohort (n=2617),Rebuilt on the corrected coordinates — two c,cohort,1 STALE - cohort,source: atlas/lana_* runs 20260802_*,02_FBM_Clustering/outputs/clustering/atlas/lana_concat/lana_cards.png,2026-08-03,True,clustering/atlas
FIG C.10,"Do the added electrodes join the cluster, or dilute it?",The plan — from five types to a graded decom,cohort,1 STALE - cohort,same three runs · make_gate_split_figures.py · numbers in comparison/gate_split_,02_FBM_Clustering/outputs/clustering/comparison/G2_drivers_by_gate.png,2026-08-21,True,clustering/comparison
FIG C.9,Is any cluster mostly the electrodes the gate would have removed?,The plan — from five types to a graded decom,cohort,1 STALE - cohort,source: cnmf 20260819_220417 · kmeans 20260819_235524 · hierarchical 20260819_23,02_FBM_Clustering/outputs/clustering/comparison/G1_silhouette_by_gate.png,2026-08-21,True,clustering/comparison
FIG C.1,The three controls that overturned the diagnosis,"Clustering — a diagnostic pass, and the four",cohort,1 STALE - cohort,,02_FBM_Clustering/outputs/clustering/diagnostics/D1_why_the_clusters_are_fragile.png,2026-08-07,True,clustering/diagnostics
FIG C.2,"""The clusters encode patient identity"" — withdrawn","Clustering — a diagnostic pass, and the four",cohort,1 STALE - cohort,,02_FBM_Clustering/outputs/clustering/diagnostics/D2_patient_identity_is_coverage.png,2026-08-07,True,clustering/diagnostics
FIG 0,the task and the cohort,Paper 2 figures,cohort,1 STALE - cohort,02_FBM_Clustering/outputs/clustering/paper_figures/FIG0_cohort_v8.png &middot; F,02_FBM_Clustering/outputs/clustering/paper_figures/FIG0_cohort_v8.png,2026-09-15,True,clustering/paper_figures
FIG S0,"the cohort, per patient",Paper 2 figures,cohort,1 STALE - cohort,02_FBM_Clustering/outputs/clustering/paper_figures/FIG0_cohort_supplement_v8.png,02_FBM_Clustering/outputs/clustering/paper_figures/FIG0_cohort_supplement_v8.png,2026-09-15,True,clustering/paper_figures
FIG 4.8,ERSP &times; Neurosynth term correlation — all eight terms,3a — anatomical ROI (Fedorenko / LanA),cohort,1 STALE - cohort,source: make_fedorenko_corr.py,04_FBM_Pooling/outputs/pooling/atlas_corr/corr_semantic.png,2026-07-28,True,pooling/atlas_corr
FIG 4.8,ERSP &times; Neurosynth term correlation — all eight terms,3a — anatomical ROI (Fedorenko / LanA),cohort,1 STALE - cohort,source: make_fedorenko_corr.py,04_FBM_Pooling/outputs/pooling/atlas_corr/corr_phonological.png,2026-07-28,True,pooling/atlas_corr
FIG 4.8,ERSP &times; Neurosynth term correlation — all eight terms,3a — anatomical ROI (Fedorenko / LanA),cohort,1 STALE - cohort,source: make_fedorenko_corr.py,04_FBM_Pooling/outputs/pooling/atlas_corr/corr_visual.png,2026-07-28,True,pooling/atlas_corr
FIG 4.8,ERSP &times; Neurosynth term correlation — all eight terms,3a — anatomical ROI (Fedorenko / LanA),cohort,1 STALE - cohort,source: make_fedorenko_corr.py,04_FBM_Pooling/outputs/pooling/atlas_corr/corr_auditory.png,2026-07-28,True,pooling/atlas_corr
FIG 4.8,ERSP &times; Neurosynth term correlation — all eight terms,3a — anatomical ROI (Fedorenko / LanA),cohort,1 STALE - cohort,source: make_fedorenko_corr.py,04_FBM_Pooling/outputs/pooling/atlas_corr/corr_broca.png,2026-07-28,True,pooling/atlas_corr
FIG 4.8,ERSP &times; Neurosynth term correlation — all eight terms,3a — anatomical ROI (Fedorenko / LanA),cohort,1 STALE - cohort,source: make_fedorenko_corr.py,04_FBM_Pooling/outputs/pooling/atlas_corr/corr_motor_control.png,2026-07-28,True,pooling/atlas_corr
FIG 4.8,ERSP &times; Neurosynth term correlation — all eight terms,3a — anatomical ROI (Fedorenko / LanA),cohort,1 STALE - cohort,source: make_fedorenko_corr.py,04_FBM_Pooling/outputs/pooling/atlas_corr/corr_recall.png,2026-07-28,True,pooling/atlas_corr
FIG 4.8,ERSP &times; Neurosynth term correlation — all eight terms,3a — anatomical ROI (Fedorenko / LanA),cohort,1 STALE - cohort,source: make_fedorenko_corr.py,04_FBM_Pooling/outputs/pooling/atlas_corr/corr_lexical.png,2026-07-28,True,pooling/atlas_corr
FIG 8,One bin at a time — what a single correlation is made of,3.a.2 — how this one actually works,cohort,1 STALE - cohort,source: make_fedorenko_corr.py,04_FBM_Pooling/outputs/pooling/atlas_corr/fedorenko/fig8_bin_scatters.png,2026-07-28,True,pooling/atlas_corr
FIG 9,Every bin at once — the correlation map,3.a.2 — how this one actually works,cohort,1 STALE - cohort,source: make_fedorenko_corr.py,04_FBM_Pooling/outputs/pooling/atlas_corr/fedorenko/fig9_corr_map_berlin.png,2026-08-02,True,pooling/atlas_corr
,,Lab notes — language representation in iEEG,cohort,1 STALE - cohort,source: hand-drawn lab-meeting figures,04_FBM_Pooling/outputs/pooling/meeting_notes/fig01.png,2026-07-28,True,pooling/meeting_notes
,,Lab notes — language representation in iEEG,cohort,1 STALE - cohort,source: hand-drawn lab-meeting figures,04_FBM_Pooling/outputs/pooling/meeting_notes/fig02.png,2026-07-28,True,pooling/meeting_notes
,,Lab notes — language representation in iEEG,cohort,1 STALE - cohort,,04_FBM_Pooling/outputs/pooling/meeting_notes/fig03.png,2026-07-28,True,pooling/meeting_notes
,,The story so far,cohort,1 STALE - cohort,source: hand-drawn lab-meeting figures,04_FBM_Pooling/outputs/pooling/meeting_notes/fig04.png,2026-07-28,True,pooling/meeting_notes
