,17Networks_1,17Networks_10,17Networks_11,17Networks_12,17Networks_13,17Networks_14,17Networks_15,17Networks_16,17Networks_17,17Networks_2,17Networks_3,17Networks_4,17Networks_5,17Networks_6,17Networks_7,17Networks_8,17Networks_9
17Networks_1,11,0,0,2,0,2,6,0,0,0,0,1,1,0,2,0,1
17Networks_10,0,0,0,2,0,0,1,9,0,0,0,1,0,1,3,5,1
17Networks_11,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0
17Networks_12,2,0,0,6,4,4,0,6,10,0,0,0,1,3,6,13,3
17Networks_13,1,0,0,8,5,7,3,19,29,0,0,2,1,4,2,4,10
17Networks_14,0,0,0,1,4,27,1,0,10,0,0,7,0,0,5,0,4
17Networks_15,2,0,0,2,0,0,6,3,4,0,0,1,0,2,1,0,4
17Networks_16,0,0,0,0,8,1,1,2,12,0,0,0,2,3,4,2,8
17Networks_17,0,2,0,5,14,5,5,18,106,0,8,5,0,2,9,15,34
17Networks_2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
17Networks_3,1,0,0,2,0,1,1,1,5,0,1,6,0,0,0,0,7
17Networks_4,0,1,0,3,4,13,0,1,4,0,0,46,0,3,3,5,8
17Networks_5,1,0,0,3,0,1,2,0,3,0,0,1,2,2,2,3,3
17Networks_6,0,0,0,1,1,1,1,0,1,0,2,2,0,3,2,6,6
17Networks_7,0,1,0,4,3,1,1,0,9,0,0,5,0,2,1,8,8
17Networks_8,0,0,0,2,0,1,0,4,6,0,0,0,1,4,5,15,2
17Networks_9,5,0,0,4,6,11,1,4,42,0,0,1,0,5,5,2,60
