,17Networks_1,17Networks_10,17Networks_11,17Networks_12,17Networks_13,17Networks_14,17Networks_15,17Networks_16,17Networks_17,17Networks_2,17Networks_3,17Networks_4,17Networks_5,17Networks_6,17Networks_7,17Networks_8,17Networks_9
17Networks_1,9,0,0,2,0,0,0,0,4,0,0,3,0,0,0,0,8
17Networks_10,0,0,0,0,0,0,10,0,4,0,0,0,0,0,0,1,8
17Networks_11,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1
17Networks_12,1,0,0,1,1,2,1,0,14,0,0,2,6,2,1,16,11
17Networks_13,0,0,0,4,2,6,10,1,38,0,0,9,0,1,1,3,20
17Networks_14,1,0,1,0,1,18,0,0,12,0,0,22,0,1,0,0,3
17Networks_15,2,0,0,0,3,0,1,0,6,0,0,1,0,2,1,0,9
17Networks_16,0,0,0,0,1,1,7,1,20,0,0,0,0,0,0,3,10
17Networks_17,0,0,0,9,10,5,7,9,142,0,0,3,1,5,0,7,30
17Networks_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
17Networks_3,0,0,0,2,0,0,1,0,15,0,0,0,0,0,0,1,6
17Networks_4,1,0,0,6,0,8,0,0,13,0,0,45,3,3,0,2,10
17Networks_5,0,0,0,1,1,0,0,0,5,0,0,1,0,2,0,5,8
17Networks_6,0,0,0,2,0,3,2,0,5,0,0,3,1,1,0,6,3
17Networks_7,0,0,0,4,0,0,4,0,18,0,0,3,5,1,0,3,5
17Networks_8,0,0,0,3,1,1,5,0,3,0,0,0,5,1,0,16,5
17Networks_9,7,0,0,5,5,4,8,4,58,0,0,8,1,1,0,7,38
